DATE,LRAC25TTJPM156N
1968-01-01,74.3996157540826
1968-02-01,74.0891658676894
1968-03-01,75.3234307618591
1968-04-01,76.6308243727599
1968-05-01,77.4755428298735
1968-06-01,77.7592371871275
1968-07-01,77.2673173054035
1968-08-01,76.8043684710351
1968-09-01,76.9741522409296
1968-10-01,77.2178850248403
1968-11-01,76.741440377804
1968-12-01,74.9410099103351
1969-01-01,73.7399905793688
1969-02-01,74.2003762935089
1969-03-01,75.2582159624413
1969-04-01,76.488513830286
1969-05-01,77.1047708138447
1969-06-01,77.3364485981308
1969-07-01,76.7040149393091
1969-08-01,76.2104283054004
1969-09-01,76.9194974406701
1969-10-01,76.7247386759582
1969-11-01,76.1374187558032
1969-12-01,74.9594249942036
1970-01-01,73.9462714219546
1970-02-01,73.9412173108077
1970-03-01,75.2138728323699
1970-04-01,76.5996765996766
1970-05-01,77.1092669432918
1970-06-01,76.9000460617227
1970-07-01,76.5545831414095
1970-08-01,76.0579576816927
1970-09-01,76.4476102941176
1970-10-01,76.5151515151515
1970-11-01,75.6769160165214
1970-12-01,74.5751033532384
1971-01-01,73.8560588641067
1971-02-01,73.7870774890779
1971-03-01,75.4422237537331
1971-04-01,75.7234726688103
1971-05-01,75.848623853211
1971-06-01,75.898374914168
1971-07-01,75.8746855705465
1971-08-01,75.5362848014605
1971-09-01,75.3187613843352
1971-10-01,75.6646216768916
1971-11-01,75.6523712275925
1971-12-01,74.4444444444444
1972-01-01,73.9444569880334
1972-02-01,73.5861759425494
1972-03-01,74.2217245240762
1972-04-01,74.9608763693271
1972-05-01,75.7575757575758
1972-06-01,75.8444444444444
1972-07-01,75.7862326808885
1972-08-01,75.6193817145363
1972-09-01,75.7708287776077
1972-10-01,76.3897972531066
1972-11-01,75.5869565217391
1972-12-01,75.016293721486
1973-01-01,74.5891003460208
1973-02-01,74.8759974121199
1973-03-01,75.2743705616527
1973-04-01,75.6710328537685
1973-05-01,76.0957878982254
1973-06-01,76.6161723917218
1973-07-01,76.3314870046868
1973-08-01,75.7910384370355
1973-09-01,76.0169491525424
1973-10-01,77.1621907379996
1973-11-01,76.3862534261016
1973-12-01,74.4421052631579
1974-01-01,74.0515615175016
1974-02-01,74.3471903070817
1974-03-01,74.9947818826967
1974-04-01,75.5935027072053
1974-05-01,75.9751037344398
1974-06-01,76.0455486542443
1974-07-01,75.4084798345398
1974-08-01,75.2577319587629
1974-09-01,75.2621838371376
1974-10-01,75.5852156057495
1974-11-01,75.2919483712354
1974-12-01,73.9210472489262
1975-01-01,72.9128393549704
1975-02-01,73.4324104234528
1975-03-01,74.1245928338762
1975-04-01,74.3907392363932
1975-05-01,75.4709337654446
1975-06-01,76.0913500404204
1975-07-01,75.630930749041
1975-08-01,75.201450443191
1975-09-01,75.4572864321608
1975-10-01,75.4815409309791
1975-11-01,75.1453197033474
1975-12-01,74.24
1976-01-01,73.4343837255684
1976-02-01,73.8887781542754
1976-03-01,74.4274048994224
1976-04-01,74.9055478226288
1976-05-01,75.5454184847283
1976-06-01,75.9952465834819
1976-07-01,75.8969276511398
1976-08-01,75.5928853754941
1976-09-01,75.7587702010248
1976-10-01,76.044952681388
1976-11-01,75.5073891625616
1976-12-01,74.8869223205506
1977-01-01,74.25431711146
1977-02-01,74.2845942767542
1977-03-01,74.8921991375931
1977-04-01,76.0477869173521
1977-05-01,76.5716516985552
1977-06-01,76.7609756097561
1977-07-01,76.5463414634146
1977-08-01,76.01246105919
1977-09-01,76.3608087091758
1977-10-01,76.6407766990291
1977-11-01,76.1793826441468
1977-12-01,75.5581440496991
1978-01-01,74.795958025651
1978-02-01,75.2379102738396
1978-03-01,75.6893203883495
1978-04-01,76.362226100446
1978-05-01,77.3800309597523
1978-06-01,77.6381909547739
1978-07-01,77.0108275328693
1978-08-01,76.5489287782281
1978-09-01,76.8859733744935
1978-10-01,77.2788591250723
1978-11-01,76.9171483622351
1978-12-01,76.1996531123531
1979-01-01,75.842155919153
1979-02-01,75.7459095283927
1979-03-01,75.9522893420546
1979-04-01,76.9955760723216
1979-05-01,77.6475110513166
1979-06-01,77.6540602802841
1979-07-01,77.6027660391856
1979-08-01,77.2168905950096
1979-09-01,77.2683675426818
1979-10-01,77.8565950920245
1979-11-01,77.4607430103409
1979-12-01,76.6091954022989
1980-01-01,76.0628111834546
1980-02-01,76.1348400689523
1980-03-01,76.3319279417401
1980-04-01,77.2718576621389
1980-05-01,77.6227785209249
1980-06-01,77.8987583572111
1980-07-01,77.6673040152964
1980-08-01,77.3152568264274
1980-09-01,77.6187750429307
1980-10-01,77.8455672068637
1980-11-01,77.5595805529075
1980-12-01,76.948051948052
1981-01-01,76.258581235698
1981-02-01,76.2349799732977
1981-03-01,76.7925247902364
1981-04-01,77.6802747043113
1981-05-01,78.0487804878049
1981-06-01,77.847619047619
1981-07-01,77.7333333333333
1981-08-01,77.4015598249952
1981-09-01,77.5622741966153
1981-10-01,78.0144541650818
1981-11-01,77.9912497622218
1981-12-01,77.5681341719078
1982-01-01,77.0198170731707
1982-02-01,77.0226537216828
1982-03-01,77.5934401220442
1982-04-01,78.1631097560976
1982-05-01,78.4966698382493
1982-06-01,78.369131343851
1982-07-01,77.8580939699448
1982-08-01,77.6595744680851
1982-09-01,78.2253467604028
1982-10-01,78.6243587307619
1982-11-01,78.234398782344
1982-12-01,78.3279375357075
1983-01-01,77.9319521003611
1983-02-01,77.7143943715535
1983-03-01,78.2161234991424
1983-04-01,78.8992572843268
1983-05-01,79.2499524081477
1983-06-01,79.1175351844808
1983-07-01,79.025504377617
